pair_id;participant_id;role;song_rank;artist;track_title;Track URI;Danceability;Energy;Valence;Tempo;Acousticness;Loudness;Instrumentalness;Speechiness;Liveness;Key;Mode;Time Signature
lephamily;lephamily_parent;parent;song_1;Fiona Fung;Proud of you;spotify:track:3o6hdAe0kkygRgXxNzO1SR;749.0;341.0;507.0;81.965;926.0;-5.491;2.3e-05;0.0286;143.0;11.0;1.0;4.0
ltc999;ltc999_child;child;song_1;Chief Keef;Faneto;spotify:track:6fL8iaSdwmSTQiUv9K6L4h;849.0;753.0;392.0;144.188;346.0;-7.399;0.0;357.0;0.0565;1.0;0.0;4.0
ltc999;ltc999_parent;parent;song_1;David Bowie;"""Heroes"" - Live";;535.0;936.0;588.0;114.978;0.00374;-4.819;0.00949;0.0543;0.97;7.0;1.0;4.0
Mooieollie;Mooieollie_child;child;song_1;one direction;Strong;spotify:track:3cKM7UXBZmgjEgEBTkaIlU;741.0;663.0;338.0;115.013;0.0608;-7.308;0.0;0.0434;0.0931;0.0;1.0;4.0
Mooieollie;Mooieollie_parent;parent;song_1;stevie wonder;Sir Duke;spotify:track:4pNiE4LCVV74vfIBaUHm1b;588.0;568.0;952.0;106.938;0.16;-9.766;0.0;0.0672;0.0792;6.0;1.0;4.0
Ngan123;Ngan123_child;child;song_1;Lil big stack;Skibidi toilet;spotify:track:73AiQc9SXjjeii7jbhQ6Vc;801.0;842.0;609.0;129.989;0.00234;-6.104;198.0;0.0491;0.0822;2.0;1.0;4.0
Ngan123;Ngan123_parent;parent;song_1;BTS;Dynamite;spotify:track:5QDLhrAOJJdNAmCTJ8xMyW;746.0;765.0;737.0;114.044;0.0112;-4.41;0.0;0.0993;0.0936;6.0;0.0;4.0
Nils567;Nils567_child;child;song_1;James;Out to get you;spotify:track:3w2ZohbKqqREEU2shH5u2u;285.0;0.0826;144.0;145.846;68.0;-19.301;0.000591;0.0343;107.0;5.0;1.0;4.0
Nils567;Nils567_parent;parent;song_1;Radiohead;Karma police;spotify:track:63OQupATfueTdZMWTxW03A;0.36;501.0;324.0;74.807;0.0638;-9.129;9.32e-05;0.0258;172.0;7.0;1.0;4.0
ptc999;ptc999_child;child;song_1;Mazzy Star;Take Everything;spotify:track:4f8igDpWLaLB8FyhitEdqy;399.0;264.0;109.0;134.282;244.0;-11.679;0.00708;0.0307;0.0994;9.0;1.0;4.0
ptc999;ptc999_parent;parent;song_1;David Bowie;"""Heroes"" - Live";;535.0;936.0;588.0;114.978;0.00374;-4.819;0.00949;0.0543;0.97;7.0;1.0;4.0
rtfswrr3544;rtfswrr3544_child;child;song_1;childish gambino;Feels like summer;spotify:track:7p4vHnYXkxlzvfePJVpcTr;0.55;596.0;253.0;165.736;162.0;-8.214;0.00481;134.0;0.0805;7.0;1.0;4.0
rtfswrr3544;rtfswrr3544_parent;parent;song_1;Aretha Franklin;I Say a Little Prayer;;592.0;355.0;499.0;133.032;478.0;-14.051;0.0;0.0352;0.0585;9.0;1.0;4.0
uitgeest1911;uitgeest1911_child;child;song_1;Dave, Tems;Raindance (feat. Tems);;796.0;741.0;249.0;107.0;236.0;-6.815;0.0619;0.0789;103.0;1.0;1.0;4.0
uitgeest1911;uitgeest1911_parent;parent;song_1;Adele;Hello;spotify:track:1Yk0cQdMLx5RzzFTYwmuld;578.0;0.43;288.0;78.991;0.33;-6.134;0.0;0.0305;0.0854;5.0;0.0;4.0
uva104;uva104_child;child;song_1;aespa;Whiplash;spotify:track:3coRPMnFg2dJcPu5RMloa9;863.0;0.9;748.0;126.023;0.0953;-2.974;0.0212;0.0448;0.0786;10.0;0.0;4.0
uva104;uva104_parent;parent;song_1;lệ quyên;chuyến tàu hoàng hôn;spotify:track:5alFlxMY4MzUxeruKQDJOa;269.0;388.0;0.28;172.425;811.0;-9.836;0.0;41.0;106.0;9.0;0.0;4.0
vds975;vds975_child;child;song_1;WHERE IS MY HUSBAND!;RAYE;;0.39;781;628;115.939;0.0599;-7.04;0;0.0918;0.14;8.0;1.0;4.0
vds975;vds975_parent;parent;song_1;Tracy Chapman;Fast Car;spotify:track:2M9ro2krNb7nr7HSprkEgo;711.0;292.0;194.0;103.951;313.0;-15.523;0.0;37.0;131.0;4.0;0.0;4.0
vy128;vy128_child;child;song_1;Fleetwood Mac;World Turning;spotify:track:6QvgyZ8xG2OFGjZsH3s8d3;676.0;379.0;818.0;115.237;174.0;-19.42;0.0072;31.0;0.0619;2.0;1.0;4.0
vy128;vy128_parent;parent;song_1;Boney M.;Daddy Cool;;763.0;777.0;929.0;124.431;281.0;-6.932;0.79;0.0364;134.0;5.0;0.0;4.0
xyz579;xyz579_child;child;song_1;Bring Me The Horizon;Can You Feel My Heart;spotify:track:0WSa1sucoNRcEeULlZVQXj;0.15;859.0;354.0;170.527;0.00201;-2.827;194.0;0.0595;387.0;4.0;0.0;5.0
xyz579;xyz579_parent;parent;song_1;Pyotr Ilych Tchaikovsky;"Symphony No.6 in B Minor, Op. 74, TH 30 ""Pathetique"" : I. Adagio";;158;0.0831;0.0488;141.03;913;-23.274;651;0.0461;145.0;11.0;1.0;4.0
47KL;47KL_child;child;song_2;Masayoshi Takanaka;Ready to Fly;spotify:track:6974s3EIddg6dK8U7ycAMR;433.0;776.0;732.0;135.826;0.0299;-10.983;495.0;0.0863;0.19;9.0;1.0;4.0
47KL;47KL_parent;parent;song_2;Nat King Cole;Wolverton Mountain;spotify:track:1iDTY4GcmngjCLpu9MxlN5;554.0;564.0;0.75;158.146;696.0;-10.901;0.0;0.0609;283.0;10.0;1.0;4.0
abc222;abc222_child;child;song_2;Mid-Air Thief;These Chains;spotify:track:4eFkPKdkAbyLjHneGQQNPe;349.0;776.0;157.0;127.885;582.0;-8.081;116.0;137.0;422.0;11.0;1.0;4.0
